species,mkg,fkg,sdratio,sd20,sd15,sd10
Aepyceros melampus,56.9,43.8,0.26017874875868924,dimorphic,dimorphic,dimorphic
Alcelaphus buselaphus,152.1,144.6,0.05055611729019212,monomorphic,monomorphic,monomorphic
Ammotragus lervia,111.8,51.6,0.7368421052631579,dimorphic,dimorphic,dimorphic
Antidorcas marsupialis,40.7,35.5,0.136482939632546,monomorphic,monomorphic,dimorphic
Antilocapra americana,56.2,49.8,0.12075471698113219,monomorphic,monomorphic,dimorphic
Bos grunniens,590.5,306,0.6346904629113218,dimorphic,dimorphic,dimorphic
Bos taurus,384,327.5,0.15881939564300773,monomorphic,dimorphic,dimorphic
Capra hircus,53,38.6,0.314410480349345,dimorphic,dimorphic,dimorphic
Capra ibex,80.5,48.9,0.4884080370942813,dimorphic,dimorphic,dimorphic
Capreolus capreolus,24.2,23.4,0.033613445378151294,monomorphic,monomorphic,monomorphic
Philantomba maxwellii,6.5,7.2,-0.10218978102189784,monomorphic,monomorphic,monomorphic
Cephalophus harveyi,13.1,12.1,0.07936507936507936,monomorphic,monomorphic,monomorphic
Connochaetes taurinus,235.3,184.9,0.2398857686815802,dimorphic,dimorphic,dimorphic
Damaliscus lunatus,137,120.1,0.1314663555036951,monomorphic,monomorphic,dimorphic
Elaphurus davidianus,207.3,149.9,0.3213885778275476,dimorphic,dimorphic,dimorphic
Eudorcas thomsonii,22.7,17.8,0.24197530864197525,dimorphic,dimorphic,dimorphic
Giraffa camelopardalis,1190.2,814.3,0.37505612372162644,dimorphic,dimorphic,dimorphic
Kobus ellipsiprymnus,236.8,187.3,0.23343551049280828,dimorphic,dimorphic,dimorphic
Litocranius walleri,35,34.3,0.020202020202020284,monomorphic,monomorphic,monomorphic
Madoqua kirkii,4.6,5.1,-0.10309278350515465,monomorphic,monomorphic,monomorphic
Muntiacus crinifrons,23.1,24.1,-0.0423728813559322,monomorphic,monomorphic,monomorphic
Muntiacus muntjak,20.9,15.1,0.3222222222222222,dimorphic,dimorphic,dimorphic
Muntiacus reevesi,14.7,11.8,0.21886792452830178,dimorphic,dimorphic,dimorphic
Nanger granti,72.1,46,0.4419983065198983,dimorphic,dimorphic,dimorphic
Neotragus moschatus,4.8,5.1,-0.06060606060606058,monomorphic,monomorphic,monomorphic
Neotragus pygmaeus,2,2.2,-0.09523809523809532,monomorphic,monomorphic,monomorphic
Odocoileus virginianus,57.6,47.1,0.20057306590257878,dimorphic,dimorphic,dimorphic
Okapia johnstoni,200,200,0,monomorphic,monomorphic,monomorphic
Oreotragus oreotragus,11.3,13,-0.13991769547325097,monomorphic,monomorphic,monomorphic
Oryx gazella,178,166.4,0.0673635307781649,monomorphic,monomorphic,monomorphic
Ourebia ourebi,14.1,15.1,-0.0684931506849315,monomorphic,monomorphic,monomorphic
Ovis ammon,120.7,63.2,0.6253398586188146,dimorphic,dimorphic,dimorphic
Ovis aries,67.9,44.9,0.4078014184397164,dimorphic,dimorphic,dimorphic
Pantholops hodgsonii,42.3,25.8,0.48458149779735676,dimorphic,dimorphic,dimorphic
Pseudois nayaur,60,39.5,0.4120603015075377,dimorphic,dimorphic,dimorphic
Rangifer tarandus,145,85.8,0.512998266897747,dimorphic,dimorphic,dimorphic
Raphicerus campestris,10.9,11.3,-0.036036036036036063,monomorphic,monomorphic,monomorphic
Redunca redunca,51.6,40.3,0.2459194776931448,dimorphic,dimorphic,dimorphic
Sylvicapra grimmia,18.3,19.6,-0.06860158311345649,monomorphic,monomorphic,monomorphic
Syncerus caffer,642.9,467.5,0.315922190201729,dimorphic,dimorphic,dimorphic
Tragelaphus buxtoni,232,166.7,0.3275645849009281,dimorphic,dimorphic,dimorphic
Tragelaphus imberbis,95.6,62.1,0.42485732403297394,dimorphic,dimorphic,dimorphic
Tragelaphus oryx,647.3,415.8,0.43551876587338906,dimorphic,dimorphic,dimorphic
Tragelaphus scriptus,49.7,31.1,0.46039603960396036,dimorphic,dimorphic,dimorphic
Tragelaphus spekei,102.3,60.2,0.5181538461538461,dimorphic,dimorphic,dimorphic
Tragelaphus strepsiceros,240.8,159.2,0.40800000000000014,dimorphic,dimorphic,dimorphic
Tragulus javanicus,1.3,1.5,-0.14285714285714282,monomorphic,monomorphic,monomorphic
Cervus albirostris,204.2,125,0.4811664641555285,dimorphic,dimorphic,dimorphic
Moschus berezovskii,13,14.7,-0.12274368231046927,monomorphic,monomorphic,monomorphic
Tragelaphus eurycerus,102,60.2,0.5154130702836005,dimorphic,dimorphic,dimorphic
Procapra przewalskii,30,20,0.4,dimorphic,dimorphic,dimorphic
