model,AIC,AICc,AICweights,AICcorrWeights,deltaAIC,deltaAICc,modelType,sdratio,specRates
bisse_sd10,377.824741044823,379.158074378156,0.306103835302644,0.282685478942116,0.79176628028398,1.2555343962260395,bisse,0.10,vary
bisse_sd20,381.790380119323,383.123713452656,0.0421445273358386,0.038920276457633,4.757405354783998,5.221173470726001,bisse,0.2,vary
cid2_sd10,387.896372045656,389.805462954747,0.00198994873088503,0.00137801024806341,10.863397281116988,11.90292297281701,cid2,0.10,vary
cid2_sd20,397.497678637347,399.406769546438,1.63660793108415e-5,1.13332693757029e-5,20.464703872808002,21.504229564508023,cid2,0.2,vary
cid4_sd10,391.104273685017,394.532845113588,4.00179555177706e-4,1.29632666571577e-4,14.071298920478,16.63030513165802,cid4,0.10,vary
cid4_sd20,391.284606251268,394.713177679839,3.65675764420018e-4,1.18455637798179e-4,14.251631486728968,16.810637697909044,cid4,0.2,vary
eq_bisse_sd10,377.032974764539,377.90253998193,0.454777148562526,0.529589456436532,0,0,bisse,0.10,equal
eq_bisse_sd20,383.107624062222,383.977189279613,0.0218124927317479,0.0254007181447992,6.074649297682981,6.074649297683038,bisse,0.2,equal
eq_cid2_sd10,385.190965916897,386.060531134289,0.00769685604325837,0.00896301368945985,8.157991152358022,8.157991152359045,cid2,0.10,equal
eq_cid2_sd20,385.796115674306,386.665680891698,0.00568730820041918,0.00662288874444825,8.763140909767003,8.763140909768026,cid2,0.2,equal
eq_cid4_sd10,386.770331994963,388.679422904054,0.00349428543185393,0.00241974130288867,9.737357230423981,10.776882922124003,cid4,0.10,equal
eq_cid4_sd20,387.454123471246,389.363214380337,0.00248241819130068,0.00171903811113263,10.421148706707015,11.460674398407036,cid4,0.2,equal
eq_hisse_sd10,379.401519643097,381.310610552187,0.139147577188355,0.0963576520252704,2.368544878557998,3.408070570256996,hisse,0.10,equal
eq_hisse_sd20,386.109504912592,388.018595821683,0.00486245007511005,0.0033671752091916,9.076530148052996,10.116055839753017,hisse,0.2,equal
eq_null_sd10,390.983933197302,391.494571495175,4.24997623944251e-4,5.92198343367753e-4,13.950958432763002,13.592031513245047,null,0.10,equal
eq_null_sd20,391.664653812656,392.17529211052903,3.02391722278302e-4,4.2135736035273e-4,14.631679048117007,14.272752128599052,null,0.2,equal
hisse_sd10,387.094705045309,392.594705045309,0.00297113006943505,3.41645907723595e-4,10.061730280770007,14.692165063379036,hisse,0.10,vary
hisse_sd20,386.059005199196,391.559005199196,0.00498678941189651,5.73423631896988e-4,9.026030434657002,13.656465217266032,hisse,0.2,vary
null_sd10,392.368409019089,393.23797423648,2.12692118566659e-4,2.47680658133518e-4,15.335434254549966,15.335434254550023,null,0.10,vary
null_sd20,393.497678920413,394.367244137804,1.20929861031781e-4,1.40823213244544e-4,16.464704155874017,16.464704155874017,null,0.2,vary
